# Partner motif	Anchor	Partner TF	Partner Motif	Anchor pAUC	Partner pAUC	A&P pAUC	Ratio		Partner Class	Partner Family
261	PEAKS039234_BHLHA15_pwm.binary	Hnf4g	HNF4G.H12CORE.0.P.B	7.557501	1.869324	7.084251	0.937380		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
262	PEAKS039234_BHLHA15_pwm.binary	Nr2c1	NR2C1.H12CORE.0.S.C	7.557501	1.504136	7.003126	0.926646		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
263	PEAKS039234_BHLHA15_pwm.binary	Nr2c1	NR2C1.H12CORE.1.PM.A	7.557501	1.286872	6.998023	0.925971		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
264	PEAKS039234_BHLHA15_pwm.binary	Nr2c2	NR2C2.H12CORE.0.SM.B	7.557501	1.459700	7.064542	0.934772		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
265	PEAKS039234_BHLHA15_pwm.binary	Nr2c2	NR2C2.H12CORE.1.PS.A	7.557501	1.385092	7.052263	0.933147		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
266	PEAKS039234_BHLHA15_pwm.binary	Nr2e1	NR2E1.H12CORE.0.SM.B	7.557501	1.853999	7.097137	0.939085		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
267	PEAKS039234_BHLHA15_pwm.binary	Nr2e1	NR2E1.H12CORE.1.S.B	7.557501	1.968977	7.160505	0.947470		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
268	PEAKS039234_BHLHA15_pwm.binary	Nr2f1	COT1.H12CORE.0.PSM.A	7.557501	1.576690	7.048247	0.932616		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
269	PEAKS039234_BHLHA15_pwm.binary	Nr2f1	COT1.H12CORE.1.PSM.A	7.557501	1.587622	7.066472	0.935028		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
270	PEAKS039234_BHLHA15_pwm.binary	Nr2f2	COT2.H12CORE.0.P.B	7.557501	1.584441	6.924464	0.916237		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
271	PEAKS039234_BHLHA15_pwm.binary	Nr2f2	COT2.H12CORE.1.P.B	7.557501	1.571896	7.000549	0.926305		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
272	PEAKS039234_BHLHA15_pwm.binary	Nr2f6	NR2F6.H12CORE.0.P.C	7.557501	1.606494	6.986755	0.924480		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
273	PEAKS039234_BHLHA15_pwm.binary	Nr2f6	NR2F6.H12CORE.1.PSM.A	7.557501	1.569103	7.062719	0.934531		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
274	PEAKS039234_BHLHA15_pwm.binary	Nr2f6	NR2F6.H12CORE.2.SM.B	7.557501	1.421076	7.028789	0.930041		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
275	PEAKS039234_BHLHA15_pwm.binary	Nr2f6	NR2F6.H12CORE.3.SM.B	7.557501	1.560981	6.998345	0.926013		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
276	PEAKS039234_BHLHA15_pwm.binary	Rxra	RXRA.H12CORE.0.PS.A	7.557501	1.606782	7.055220	0.933539		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
277	PEAKS039234_BHLHA15_pwm.binary	Rxra	RXRA.H12CORE.1.S.C	7.557501	1.485305	7.047684	0.932542		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
278	PEAKS039234_BHLHA15_pwm.binary	Rxra	RXRA.H12CORE.2.SM.B	7.557501	1.388881	7.056356	0.933689		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
279	PEAKS039234_BHLHA15_pwm.binary	Rxra	RXRA.H12CORE.3.P.B	7.557501	0.932726	6.798278	0.899541		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
280	PEAKS039234_BHLHA15_pwm.binary	Rxrb	RXRB.H12CORE.0.P.C	7.557501	1.651858	6.927291	0.916611		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
281	PEAKS039234_BHLHA15_pwm.binary	Rxrb	RXRB.H12CORE.1.SM.B	7.557501	1.268868	7.017919	0.928603		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
282	PEAKS039234_BHLHA15_pwm.binary	Rxrb	RXRB.H12CORE.2.PS.A	7.557501	1.411015	7.045502	0.932253		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
283	PEAKS039234_BHLHA15_pwm.binary	Rxrg	RXRG.H12CORE.0.P.B	7.557501	1.310546	7.000146	0.926251		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
284	PEAKS039234_BHLHA15_pwm.binary	Rxrg	RXRG.H12CORE.1.SM.B	7.557501	1.414212	7.049655	0.932802		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
285	PEAKS039234_BHLHA15_pwm.binary	Rxrg	RXRG.H12CORE.2.P.B	7.557501	1.192200	7.041413	0.931712		Nuclear receptors with C4 zinc fingers {2.1}	RXR-related receptors {2.1.3}
286	PEAKS039234_BHLHA15_pwm.binary	Nr4a2	NR4A2.H12CORE.0.SM.B	7.557501	1.836772	6.966896	0.921852		Nuclear receptors with C4 zinc fingers {2.1}	NGFI (NR4A) {2.1.4}
287	PEAKS039234_BHLHA15_pwm.binary	Nr5a1	STF1.H12CORE.0.PSM.A	7.557501	1.323904	7.034878	0.930847		Nuclear receptors with C4 zinc fingers {2.1}	FTZF1-related (NR5A) {2.1.5}
288	PEAKS039234_BHLHA15_pwm.binary	Nr5a2	NR5A2.H12CORE.0.PSM.A	7.557501	1.516315	7.000828	0.926342		Nuclear receptors with C4 zinc fingers {2.1}	FTZF1-related (NR5A) {2.1.5}
289	PEAKS039234_BHLHA15_pwm.binary	Nr6a1	NR6A1.H12CORE.0.P.C	7.557501	1.435358	6.990245	0.924941		Nuclear receptors with C4 zinc fingers {2.1}	GCNF (NR6) {2.1.6}
290	PEAKS039234_BHLHA15_pwm.binary	Nr6a1	NR6A1.H12CORE.1.P.C	7.557501	1.709817	7.094234	0.938701		Nuclear receptors with C4 zinc fingers {2.1}	GCNF (NR6) {2.1.6}
291	PEAKS039234_BHLHA15_pwm.binary	Nr6a1	NR6A1.H12CORE.2.SM.B	7.557501	1.343750	7.051880	0.933097		Nuclear receptors with C4 zinc fingers {2.1}	GCNF (NR6) {2.1.6}
292	PEAKS039234_BHLHA15_pwm.binary	Gata1	GATA1.H12CORE.0.P.B	7.557501	2.073264	7.182685	0.950405		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
293	PEAKS039234_BHLHA15_pwm.binary	Gata1	GATA1.H12CORE.1.PSM.A	7.557501	2.160320	7.282293	0.963585		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
294	PEAKS039234_BHLHA15_pwm.binary	Gata2	GATA2.H12CORE.0.PSM.A	7.557501	2.090571	7.240329	0.958032		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
295	PEAKS039234_BHLHA15_pwm.binary	Gata2	GATA2.H12CORE.1.P.B	7.557501	1.904434	7.186334	0.950888		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
296	PEAKS039234_BHLHA15_pwm.binary	Gata3	GATA3.H12CORE.0.PS.A	7.557501	2.113304	7.291705	0.964830		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
297	PEAKS039234_BHLHA15_pwm.binary	Gata3	GATA3.H12CORE.1.SM.B	7.557501	1.923267	7.239347	0.957902		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
298	PEAKS039234_BHLHA15_pwm.binary	Gata4	GATA4.H12CORE.0.PSM.A	7.557501	2.176507	7.273215	0.962384		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
299	PEAKS039234_BHLHA15_pwm.binary	Gata5	GATA5.H12CORE.0.SM.B	7.557501	2.045027	7.272121	0.962239		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
300	PEAKS039234_BHLHA15_pwm.binary	Gata6	GATA6.H12CORE.0.PSM.A	7.557501	2.144709	7.249702	0.959272		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
301	PEAKS039234_BHLHA15_pwm.binary	Trps1	TRPS1.H12CORE.0.P.B	7.557501	2.083387	7.242588	0.958331		Other C4 zinc finger-type factors {2.2}	C4-GATA-related {2.2.1}
302	PEAKS039234_BHLHA15_pwm.binary	Egr1	EGR1.H12CORE.0.PS.A	7.557501	0.854293	6.944109	0.918837		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
303	PEAKS039234_BHLHA15_pwm.binary	Egr2	EGR2.H12CORE.0.PSM.A	7.557501	0.817991	6.929704	0.916931		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
304	PEAKS039234_BHLHA15_pwm.binary	Egr3	EGR3.H12CORE.0.PSM.A	7.557501	0.922462	6.957808	0.920649		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
305	PEAKS039234_BHLHA15_pwm.binary	Egr4	EGR4.H12CORE.0.S.B	7.557501	1.250411	6.956451	0.920470		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
306	PEAKS039234_BHLHA15_pwm.binary	Klf1	KLF1.H12CORE.0.P.B	7.557501	1.028560	6.979742	0.923552		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
307	PEAKS039234_BHLHA15_pwm.binary	Klf10	KLF10.H12CORE.0.P.C	7.557501	0.833171	6.938546	0.918101		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
308	PEAKS039234_BHLHA15_pwm.binary	Klf10	KLF10.H12CORE.1.PSM.A	7.557501	0.361712	6.871747	0.909262		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
309	PEAKS039234_BHLHA15_pwm.binary	Klf11	KLF11.H12CORE.0.P.B	7.557501	0.979662	7.001396	0.926417		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
310	PEAKS039234_BHLHA15_pwm.binary	Klf11	KLF11.H12CORE.1.SM.B	7.557501	0.368046	6.863077	0.908115		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
311	PEAKS039234_BHLHA15_pwm.binary	Klf12	KLF12.H12CORE.0.P.C	7.557501	0.762654	6.959912	0.920928		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
312	PEAKS039234_BHLHA15_pwm.binary	Klf12	KLF12.H12CORE.1.PSM.A	7.557501	0.933179	6.976525	0.923126		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
313	PEAKS039234_BHLHA15_pwm.binary	Klf13	KLF13.H12CORE.0.PSM.A	7.557501	0.900614	6.948859	0.919465		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
314	PEAKS039234_BHLHA15_pwm.binary	Klf13	KLF13.H12CORE.1.P.C	7.557501	0.546597	6.846437	0.905913		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
315	PEAKS039234_BHLHA15_pwm.binary	Klf14	KLF14.H12CORE.0.PSM.A	7.557501	1.029162	6.889904	0.911664		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
316	PEAKS039234_BHLHA15_pwm.binary	Klf14	KLF14.H12CORE.1.P.C	7.557501	0.377015	6.823617	0.902893		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
317	PEAKS039234_BHLHA15_pwm.binary	Klf15	KLF15.H12CORE.0.S.B	7.557501	0.815855	6.914922	0.914975		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
318	PEAKS039234_BHLHA15_pwm.binary	Klf15	KLF15.H12CORE.1.P.C	7.557501	0.267195	6.592068	0.872255		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
319	PEAKS039234_BHLHA15_pwm.binary	Klf16	KLF16.H12CORE.0.SM.B	7.557501	1.017311	6.776744	0.896691		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
320	PEAKS039234_BHLHA15_pwm.binary	Klf16	KLF16.H12CORE.1.P.B	7.557501	0.321237	6.631173	0.877429		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
321	PEAKS039234_BHLHA15_pwm.binary	Klf17	KLF17.H12CORE.0.M.C	7.557501	0.984655	6.998625	0.926050		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
322	PEAKS039234_BHLHA15_pwm.binary	Klf17	KLF17.H12CORE.1.P.C	7.557501	0.765464	6.848978	0.906249		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
323	PEAKS039234_BHLHA15_pwm.binary	Klf2	KLF2.H12CORE.0.S.C	7.557501	1.027248	6.969324	0.922173		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
324	PEAKS039234_BHLHA15_pwm.binary	Klf3	KLF3.H12CORE.0.PS.A	7.557501	0.924233	6.971082	0.922406		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
325	PEAKS039234_BHLHA15_pwm.binary	Klf3	KLF3.H12CORE.1.M.C	7.557501	1.187344	6.983241	0.924015		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
326	PEAKS039234_BHLHA15_pwm.binary	Klf4	KLF4.H12CORE.0.PSM.A	7.557501	1.034819	6.976383	0.923107		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
327	PEAKS039234_BHLHA15_pwm.binary	Klf5	KLF5.H12CORE.0.PM.A	7.557501	1.052122	6.944516	0.918891		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
328	PEAKS039234_BHLHA15_pwm.binary	Klf6	KLF6.H12CORE.0.P.B	7.557501	0.796297	6.968324	0.922041		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
329	PEAKS039234_BHLHA15_pwm.binary	Klf6	KLF6.H12CORE.1.SM.B	7.557501	0.945559	6.946532	0.919157		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
330	PEAKS039234_BHLHA15_pwm.binary	Klf8	KLF8.H12CORE.0.P.C	7.557501	0.932882	6.972775	0.922630		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
331	PEAKS039234_BHLHA15_pwm.binary	Klf8	KLF8.H12CORE.1.P.C	7.557501	0.263710	6.753155	0.893570		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
332	PEAKS039234_BHLHA15_pwm.binary	Klf9	KLF9.H12CORE.0.P.B	7.557501	0.900925	6.949145	0.919503		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
333	PEAKS039234_BHLHA15_pwm.binary	Klf9	KLF9.H12CORE.1.P.B	7.557501	0.488849	6.949711	0.919578		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
334	PEAKS039234_BHLHA15_pwm.binary	Sp1	SP1.H12CORE.0.P.B	7.557501	1.073436	6.980750	0.923685		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
335	PEAKS039234_BHLHA15_pwm.binary	Sp1	SP1.H12CORE.1.SM.B	7.557501	1.026232	7.019965	0.928874		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
336	PEAKS039234_BHLHA15_pwm.binary	Sp1	SP1.H12CORE.2.P.B	7.557501	0.842351	7.027169	0.929827		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
337	PEAKS039234_BHLHA15_pwm.binary	Sp2	SP2.H12CORE.0.P.D	7.557501	0.949332	7.004894	0.926880		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
338	PEAKS039234_BHLHA15_pwm.binary	Sp2	SP2.H12CORE.1.P.B	7.557501	0.635597	6.967058	0.921873		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
339	PEAKS039234_BHLHA15_pwm.binary	Sp3	SP3.H12CORE.0.P.B	7.557501	0.985709	7.014950	0.928210		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
340	PEAKS039234_BHLHA15_pwm.binary	Sp3	SP3.H12CORE.1.S.B	7.557501	1.030099	6.978725	0.923417		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
341	PEAKS039234_BHLHA15_pwm.binary	Sp4	SP4.H12CORE.0.P.C	7.557501	0.904297	7.036571	0.931071		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
342	PEAKS039234_BHLHA15_pwm.binary	Sp4	SP4.H12CORE.1.S.B	7.557501	1.117691	6.974985	0.922922		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
343	PEAKS039234_BHLHA15_pwm.binary	Sp4	SP4.H12CORE.2.P.B	7.557501	0.413122	6.653315	0.880359		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
344	PEAKS039234_BHLHA15_pwm.binary	Sp5	SP5.H12CORE.0.P.B	7.557501	0.852152	6.942632	0.918641		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
345	PEAKS039234_BHLHA15_pwm.binary	Sp5	SP5.H12CORE.1.P.B	7.557501	0.228519	6.470778	0.856206		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
346	PEAKS039234_BHLHA15_pwm.binary	Sp7	SP7.H12CORE.0.P.B	7.557501	1.674200	7.268936	0.961817		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
347	PEAKS039234_BHLHA15_pwm.binary	Sp8	SP8.H12CORE.0.SM.B	7.557501	1.222197	6.888906	0.911532		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
348	PEAKS039234_BHLHA15_pwm.binary	Sp9	SP9.H12CORE.0.P.B	7.557501	1.679580	7.270736	0.962056		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
349	PEAKS039234_BHLHA15_pwm.binary	Sp9	SP9.H12CORE.1.S.C	7.557501	1.142681	6.947943	0.919344		C2H2 zinc finger factors {2.3}	Three-zinc finger Kruppel-related {2.3.1}
350	PEAKS039234_BHLHA15_pwm.binary	Osr1	OSR1.H12CORE.0.SM.B	7.557501	1.839414	7.072633	0.935843		C2H2 zinc finger factors {2.3}	Other with up to three adjacent zinc fingers {2.3.2}
351	PEAKS039234_BHLHA15_pwm.binary	Zbtb22	ZBT22.H12CORE.0.SM.B	7.557501	1.644004	7.167880	0.948446		C2H2 zinc finger factors {2.3}	Other with up to three adjacent zinc fingers {2.3.2}
352	PEAKS039234_BHLHA15_pwm.binary	Zbtb33	KAISO.H12CORE.0.P.B	7.557501	1.208734	7.003823	0.926738		C2H2 zinc finger factors {2.3}	Other with up to three adjacent zinc fingers {2.3.2}
353	PEAKS039234_BHLHA15_pwm.binary	Zbtb33	KAISO.H12CORE.1.P.B	7.557501	1.131174	6.960069	0.920948		C2H2 zinc finger factors {2.3}	Other with up to three adjacent zinc fingers {2.3.2}
354	PEAKS039234_BHLHA15_pwm.binary	Zbtb43	ZBT43.H12CORE.0.S.C	7.557501	2.343303	7.050612	0.932929		C2H2 zinc finger factors {2.3}	Other with up to three adjacent zinc fingers {2.3.2}
355	PEAKS039234_BHLHA15_pwm.binary	Znf580	ZN580.H12CORE.0.SM.B	7.557501	1.351312	6.999244	0.926132		C2H2 zinc finger factors {2.3}	Other with up to three adjacent zinc fingers {2.3.2}
356	PEAKS039234_BHLHA15_pwm.binary	Znf580	ZN580.H12CORE.1.SM.B	7.557501	1.327081	6.943876	0.918806		C2H2 zinc finger factors {2.3}	Other with up to three adjacent zinc fingers {2.3.2}
357	PEAKS039234_BHLHA15_pwm.binary	Znf740	ZN740.H12CORE.0.P.C	7.557501	0.511539	6.916527	0.915187		C2H2 zinc finger factors {2.3}	Other with up to three adjacent zinc fingers {2.3.2}
358	PEAKS039234_BHLHA15_pwm.binary	Znf740	ZN740.H12CORE.1.S.C	7.557501	0.198186	6.893968	0.912202		C2H2 zinc finger factors {2.3}	Other with up to three adjacent zinc fingers {2.3.2}
359	PEAKS039234_BHLHA15_pwm.binary	Bcl6	BCL6.H12CORE.0.PSM.A	7.557501	1.509345	7.132526	0.943768		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
360	PEAKS039234_BHLHA15_pwm.binary	Bcl6b	BCL6B.H12CORE.0.PSM.A	7.557501	1.660860	7.007440	0.927217		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
361	PEAKS039234_BHLHA15_pwm.binary	Ctcf	CTCF.H12CORE.0.P.B	7.557501	3.419846	7.739452	1.024075		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
362	PEAKS039234_BHLHA15_pwm.binary	Ctcfl	CTCFL.H12CORE.0.P.B	7.557501	3.043643	7.603726	1.006116		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
363	PEAKS039234_BHLHA15_pwm.binary	Fezf1	FEZF1.H12CORE.0.P.B	7.557501	2.324479	7.061668	0.934392		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
364	PEAKS039234_BHLHA15_pwm.binary	Gfi1	GFI1.H12CORE.0.PSM.A	7.557501	1.754587	7.115689	0.941540		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
365	PEAKS039234_BHLHA15_pwm.binary	Gfi1b	GFI1B.H12CORE.0.PSM.A	7.557501	1.587130	6.949475	0.919547		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
366	PEAKS039234_BHLHA15_pwm.binary	Gfi1b	GFI1B.H12CORE.1.S.C	7.557501	1.390852	7.159913	0.947392		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
367	PEAKS039234_BHLHA15_pwm.binary	Gli1	GLI1.H12CORE.0.P.C	7.557501	1.226693	6.822901	0.902799		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
368	PEAKS039234_BHLHA15_pwm.binary	Gli2	GLI2.H12CORE.0.PSM.A	7.557501	1.009070	6.859767	0.907677		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
369	PEAKS039234_BHLHA15_pwm.binary	Gli3	GLI3.H12CORE.0.PS.A	7.557501	1.005351	6.868925	0.908888		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
370	PEAKS039234_BHLHA15_pwm.binary	Gli3	GLI3.H12CORE.1.M.C	7.557501	1.229897	6.950417	0.919671		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
371	PEAKS039234_BHLHA15_pwm.binary	Glis1	GLIS1.H12CORE.0.P.B	7.557501	1.572636	6.936908	0.917884		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
372	PEAKS039234_BHLHA15_pwm.binary	Glis1	GLIS1.H12CORE.1.P.B	7.557501	1.418772	6.856923	0.907300		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
373	PEAKS039234_BHLHA15_pwm.binary	Glis1	GLIS1.H12CORE.2.SM.B	7.557501	0.747224	6.943017	0.918692		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
374	PEAKS039234_BHLHA15_pwm.binary	Glis2	GLIS2.H12CORE.0.SM.B	7.557501	0.733075	6.928333	0.916749		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
375	PEAKS039234_BHLHA15_pwm.binary	Glis3	GLIS3.H12CORE.0.P.C	7.557501	1.385200	6.844426	0.905647		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
376	PEAKS039234_BHLHA15_pwm.binary	Glis3	GLIS3.H12CORE.1.S.C	7.557501	0.869567	6.881937	0.910610		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
377	PEAKS039234_BHLHA15_pwm.binary	Mtf1	MTF1.H12CORE.0.SM.B	7.557501	2.234940	7.111700	0.941012		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
378	PEAKS039234_BHLHA15_pwm.binary	Mynn	MYNN.H12CORE.0.P.B	7.557501	1.775603	7.273298	0.962395		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
379	PEAKS039234_BHLHA15_pwm.binary	Osr2	OSR2.H12CORE.0.PSM.A	7.557501	1.769357	7.016336	0.928394		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
380	PEAKS039234_BHLHA15_pwm.binary	Osr2	OSR2.H12CORE.1.M.C	7.557501	1.704938	7.001001	0.926365		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
381	PEAKS039234_BHLHA15_pwm.binary	Ovol1	OVOL1.H12CORE.0.SM.B	7.557501	1.878140	7.169543	0.948666		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
382	PEAKS039234_BHLHA15_pwm.binary	Ovol2	OVOL2.H12CORE.0.PSM.A	7.557501	1.821242	7.152611	0.946425		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
383	PEAKS039234_BHLHA15_pwm.binary	Prdm1	PRDM1.H12CORE.0.S.B	7.557501	1.694366	7.011398	0.927740		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
384	PEAKS039234_BHLHA15_pwm.binary	Prdm1	PRDM1.H12CORE.1.PS.A	7.557501	1.399653	7.025285	0.929578		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
385	PEAKS039234_BHLHA15_pwm.binary	Prdm14	PRD14.H12CORE.0.P.B	7.557501	1.551197	6.994657	0.925525		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
386	PEAKS039234_BHLHA15_pwm.binary	Prdm5	PRDM5.H12CORE.0.P.B	7.557501	1.517164	6.980638	0.923670		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
387	PEAKS039234_BHLHA15_pwm.binary	Prdm5	PRDM5.H12CORE.1.P.B	7.557501	2.035782	7.061599	0.934383		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
388	PEAKS039234_BHLHA15_pwm.binary	Prdm6	PRDM6.H12CORE.0.P.B	7.557501	1.190427	7.235861	0.957441		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
389	PEAKS039234_BHLHA15_pwm.binary	Rbak	RBAK.H12CORE.0.P.C	7.557501	1.690849	7.088523	0.937945		C2H2 zinc finger factors {2.3}	More than 3 adjacent zinc fingers {2.3.3}
